"latitude";"longitude";"UK";"TIT";"LIE";"AUT";"ATT";"SIE";"LKP"
"47.218371";"-1.553621";27328;"Les Trois Grâces";"Musée d'arts de Nantes";"Aachen von Hans";"genre de";"16e";"folder_0002/folder_0015/elem_0146/FR44_0001_MUS_UK_27328_0185_low.jpg"
"49.433187";"2.079413";12123;"Le Massacre des Triumvirs";"Musée départemental de l'Oise (Beauvais)";"Abate Nicolò dell'";"entourage de";"16e";"folder_0001/folder_0248/elem_0191/FR60_0001_MUS_456_0003_low.jpg"
"48.542105";"2.6554";26700;"Moïse sauvé des eaux";"Eglise Notre-Dame (Melun)";"Abate Nicolò dell'";"copié d'après";"16e";"folder_0002/folder_0148/elem_0152/FR77_0001_REL_UK_26700_0047_low.jpg"
"48.860591";"2.337582";21313;"Colloque amoureux";"Musée du Louvre (Paris)";"Abate Nicolò dell'";"de";"16e";"folder_0003/folder_0117/elem_0040/FR75_0002_MUS_21313_0110_low.jpg"
"48.2973451";"4.0744009";22328;"Chasse au sanglier";"Musée d'Art, d'Archéologie et de Sciences naturelles (Troyes)";"Abate Nicolò dell'";"attribué à";"16e";"folder_0001/folder_0247/elem_0162/FR10_0001_MUS_87924_0027_low.jpg"
"47.320941";"5.042226";11945;"Groupe de femmes";"Musée Magnin (Dijon)";"Abate Nicolò dell'";"copié d'après";"16e";"folder_0003/folder_0008/elem_0047/FR21_0001_MUS_UK_011945_0035_low.jpg"
"48.860591";"2.337582";12182;"Moïse sauvé des eaux";"Musée du Louvre (Paris)";"Abate Nicolò dell'";"de";"16e";"folder_0003/folder_0116/elem_0193/FR75_0002_MUS_12182_0013_low.jpg"
"48.402116";"2.699949";21510;"Paysage aux batteurs de blé";"Musée national du Château (Fontainebleau)";"Abate Nicolò dell'";"de";"16e";"folder_0002/folder_0148/elem_0214/FR77_0005_MUS_UK_21510_0035_low.jpg"
"48.860591";"2.337582";12181;"L'Enlèvement de Proserpine";"Musée du Louvre (Paris)";"Abate Nicolò dell'";"de";"16e";"folder_0003/folder_0116/elem_0192/FR75_0002_MUS_12181_0012_low.jpg"
"48.860591";"2.337582";23508;"La Continence de Scipion";"Musée du Louvre (Paris)";"Abate Nicolò dell'";"de";"16e";"folder_0003/folder_0118/elem_0119/FR75_0002_MUS_23508_0439_low.jpg"
"47.240212";"6.023507";142550;"Tête de putto";"Musée des Beaux-Arts et d'Archéologie (Besançon)";"Abate Nicolò dell'";"attribué à";"16e";"folder_0004/folder_0085/elem_0092/FR25_0001_MUS_142550_0110_low.jpg"
